"name";"reviewNum";"searchKey";"givenKey";"address";"latitude";"longitude";"id"
"The ISF Academy (Primary Section)";31;"school";"Primary school";"The ISF Academy (Secondary School), 1 Kong Sin Wan Rd, Pok Fu Lam";22.263312;114.130063;2070
"Kellett School (Pokfulam Campus)";8;"school";"School";"Wah Fu Estate, 2 Wah Lok Path, Pok Fu Lam";22.252563;114.139688;2071
"T.w.g.hs. Tsui Tsin Tong School";4;"school";"Special education school";"Waterfall Bay, 薄扶林瀑布灣道25號華富邨";22.252187;114.134313;2072
"薄扶林公眾騎術學校及傷殘人學騎中心";1;"school";"School";"Pok Fu Lam, 水塘道";22.263312;114.135813;2073
"Hong Kong Academy for Performing Arts - The School of Film and Tv";0;"school";"School";"139 Pok Fu Lam Rd, High West";22.262313;114.135313;2074
"The Woodland Pokfulam Pre-School";0;"school";"Preschool";"G/F Commercial Complex, Estate II, Wah Fu, Wah Fu Rd, Pok Fu Lam";22.253313;114.136063;2075
"香港大學數碼港學院";0;"school";"School";"Telegraph Bay, 數碼港道100號數碼港一座";22.262562;114.130187;2076
"Sacred Heart Canossian College";17;"school";"Catholic school";"Pok Fu Lam, 薄扶林置富徑2號";22.257438;114.138438;2077
"St. Paul's College Primary School";23;"school";"Primary school";"777號 Victoria Rd, Pok Fu Lam";22.253938;114.138438;2078
"S.K.H. Chi Fu Chi Nam Primary School";20;"school";"Primary school";"3 Chi Fu Cl, Pok Fu Lam";22.257188;114.138687;2079
"Yu Chun Keung Memorial College No.2";10;"school";"Middle school";"Pok Fu Lam, 薄扶林置富徑1號";22.256562;114.137813;2080
"Pui Ying Secondary School";5;"school";"Middle school";"Waterfall Bay, 華富邨華富道55號";22.253562;114.135313;2081
"S.K.H. Lui Ming Choi Secondary School";18;"school";"Middle school";"57 Wah Fu Road , Wah Fu Estate, Pok Fu Lam";22.252937;114.134313;2082
"Caritas Chong Yuet Ming Secondary School";6;"school";"Middle school";"Waterfall Bay, 薄扶林華富道53號";22.252812;114.135313;2083
"Salvation Army Wah Fu Nursery School";0;"school";"Kindergarten";"Waterfall Bay, Wah Cheung St, 7號, Wah Fu (II) Estate Wah Sang House, 樓123-127, 223-229";22.252563;114.136187;2084
"陸陳漢語語言學校（數碼港）";0;"school";"School";"Pok Fu Lam, 數碼港道100號數碼港商場405號舖";22.260563;114.130063;2085
"Sunshine House International Pre-School (Chi Fu)";1;"school";"Kindergarten";"1 Chi Fu Rd, Pok Fu Lam";22.255313;114.139688;2086
"The Harbour School (The Grove)";8;"school";"International school";"香港島鴨脷洲 鴨脷洲橋道332號";22.245063;114.148688;2087
"Peak School";14;"school";"Primary school";"20號 Plunkett's Rd, The Peak";22.267313;114.152813;2088
"Panda Pre-School";0;"school";"Kindergarten";"2 Chi Fu Rd, Pok Fu Lam";22.255438;114.139312;2089
"Precious Blood Primary School (Wah Fu Estate)";25;"school";"Primary school";"27 Waterfall Bay Rd, Waterfall Bay";22.252438;114.134313;2091
"ESF Tennis Classes at Glenealy School";5;"school";"International school";"7 Hornsey Rd, Mid-level";22.276438;114.152813;2093
"Ebenezer School & Home for the Visually Impaired";5;"school";"Special education school";"131 Pok Fu Lam Rd, High West";22.267188;114.131937;2094
"Saint Charles School";10;"school";"Elementary school";"Sai Wan, 蒲飛路25號";22.280563;114.129938;2097
"The International Montessori School (Kindergarten Section)(South Horizons Campus)";3;"school";"Educational Institution";"G/F, Blocks 23 to 23A, Phase III Ap Lei Chau, Hong Kong Ap Lei Chau Hong Kong Island HK, South Horizon Drive, South Horizons";22.241687;114.148688;2098
"The University of Hong Kong - School of Public Health";7;"school";"Medical school";"7 Sassoon Rd, Sandy Bay";22.268688;114.129313;2100
"奇力学校";0;"school";"School";"Pok Fu Lam Rd, Pok Fu Lam";22.267812;114.131688;2101
"The University of Hong Kong School of Chinese Medicine";2;"school";"Medical school";"Pauline Chan Building, 10 Sassoon Rd, Pok Fu Lam";22.268688;114.128437;2103
"ESF Kennedy School";12;"school";"Primary school";"19號 Sha Wan Dr, Sandy Bay";22.268188;114.125437;2104
"The Woodland Peak Pre-School";0;"school";"Preschool";"81 Peak Rd, The Peak";22.265313;114.154438;2105
"C & M A South Horizons Nursery School";0;"school";"Nursery school";"29 Yi Nam Rd, Ap Lei Chau";22.243813;114.150062;2108
"West Island School";43;"school";"High school";"250 Victoria Rd, Sandy Bay";22.272813;114.125688;2109
"Precious Blood Primary School South Horizons";20;"school";"Primary school";"355 Ap Lei Chau Bridge Rd, South Horizons";22.244063;114.148812;2110
"Central and Western District Saint Anthony's School";21;"school";"Primary school";"2 Hospital Rd, Central";22.283938;114.147562;2111
"English Schools Foundation Peak School";0;"school";"Elementary school";"The Peak, 賓吉道20號";22.267313;114.152813;2112
"Rhenish Mission School Kindergarten Section";4;"school";"Kindergarten";"86A Bonham Rd, Sai Wan";22.283688;114.140813;2113
"Sunshine House International Pre-school - The Peak";0;"school";"Kindergarten";"118 Peak Rd, The Peak";22.270313;114.149938;2114
"HKU SPACE - Headquarters";4;"school";"University";"The University of Hong Kong T.T. Tsui Building, HK Room 304, 3/F, Pok Fu Lam Rd, Lung Fu Shan";22.283938;114.139438;2115
"Chiu Sheung School Hong Kong";12;"school";"Primary school";"Sai Wan, 薄扶林道79B號";22.283813;114.135813;2116
"ESF Tennis Classes at Kennedy School";9;"school";"Tennis Instructor";"19 Sha Wan Dr, Sandy Bay, Pok Fu Lam";22.268188;114.125437;2117
"Faculty of Law, The University of Hong Kong";12;"school";"Law school";"Pok Fu Lam, Pok Fu Lam Rd, 10/F, Cheng Yu Tung Tower, Centennial Campus, Pokfulam Road, The University of Hong Kong, Hong Kong";22.283312;114.133813;2118
"Sacred Heart Canossian School";23;"school";"Primary school";"26 Caine Rd, Mid-level";22.280188;114.153562;2119
"Kau Yan Primary School";4;"school";"School";"97A High St, Sai Ying Pun";22.285313;114.140937;2120
"Glenealy School";0;"school";"School";"7 Hornsey Rd, Mid-level";22.276438;114.152813;2121
"The University of Hong Kong - Graduate School";0;"school";"Graduate school";"Graduate House, University Dr,, University Dr, Lung Fu Shan";22.281938;114.137437;2122
"Hong Kong Red Cross John F. Kennedy Centre";7;"school";"Special education school";"15-17 Sandy Bay Rd, Sandy Bay";22.271313;114.124438;2123
"Saint Clare's Primary School";14;"school";"Primary school";"3-6 Prospect Pl";22.283563;114.140437;2124
"St.Anthony's Anglo-Chinese Primary School & Kindergarten";1;"school";"Kindergarten";"79-85 Hill Rd, Sai Wan";22.284438;114.136438;2125
"S.K.H. St. Peter's Primary School";9;"school";"Primary school";"88 Hill Rd, Shek Tong Tsui";22.284187;114.135687;2126
"Carmel School (Kindergarten Section)";0;"school";"Kindergarten";"70 Robinson Rd, Mid-level";22.281438;114.149437;2127
"Aplichau Kaifong Primary School";6;"school";"Primary school";"9 Lei Tung Estate Rd, Ap Lei Chau";22.240438;114.154063;2128
"S.K.H. Tin Wan Chi Nam Primary School";46;"school";"Primary school";"5 Tin Wan New St, Aberdeen";22.251688;114.151063;2129
"Hkspc Thomas Tam Nursery School";2;"school";"Nursery school";"30 Hospital Rd, Sai Wan";22.285313;114.144563;2130
"German Swiss International School";24;"school";"International school";"German Swiss International School (The Peak Campus) Upper Building, 11 Guildford Rd, The Peak";22.265938;114.161562;2132
"Kau Yan School";30;"school";"Educational Institution";"97B High Street, Sai Ying Pun";22.285438;114.141062;2133
"The Harbour School (Harbour Village Campus)";7;"school";"International school";"2nd Floor Kennedy Town Centre, 23 Belcher's St, Kennedy Town";22.283938;114.130563;2134
"St. Stephen's Girls' College";45;"school";"Girls' High School";"2 Lyttelton Rd, Mid-level";22.283563;114.144062;2135
"The Harbour School (The Garden Campus)";1;"school";"International school";"138 Lee Chi Rd, Ap Lei Chau";22.243563;114.153188;2136
"King's College";73;"school";"Boys' High School";"Sai Wan, Bonham Rd, 63A號";22.284438;114.140437;2137
"The Woodland Kennedy Town Pre-School";2;"school";"Preschool";"G/F F, Building 3C, Davis St, Kennedy Town";22.282687;114.126938;2138
"Evangelical Lutheran Church - Hong Kong, Ling On Nursery School";0;"school";"School";"Ham Tin, Kai Tin Rd, 71號號 六 樓 Lam Tin Estate Welfare Building (west)";22.285813;114.140813;2139
"St. Clare's Girls' School";21;"school";"Girls' High School";"50 Mount Davis Rd, Mount Davis";22.272937;114.122063;2140
"Highgate House School - The Peak";2;"school";"Kindergarten";"100 Peak Rd, The Peak";22.268063;114.151688;2141
"Bonham Road Government Primary School";16;"school";"Primary school";"9A Bonham Rd, Mid-level";22.284563;114.143937;2142
"Island Waldorf School 香島華德福學校";4;"school";"School";"Shop 1, G/F, 71-77 Smithfield, Kennedy Town";22.280688;114.128813;2143
"Carmel School Of Hong Kong (elementary Section)";7;"school";"Primary school";"10 Borrett Rd, Mid-level";22.274563;114.163063;2144
"Saint Stephen's Girls' Primary School and Kindergarten";5;"school";"Primary school";"33 Park Road, Mid-level";22.283938;114.144563;2145
"Caritas Nursery School - Kennedy Town";1;"school";"Nursery school";"27 Pokfield Rd, Kennedy Town";22.280313;114.129813;2146
"Lok Sin Tong Leung Kau Kui College";16;"school";"Middle school";"26-28, Hospital Rd, Tai Ping Shan";22.285938;114.145812;2147
"Island Christian Academy";19;"school";"International school";"70 Bridges St, Sheung Wan";22.283813;114.149313;2148
"C&W District St Anthony's School";1;"school";"School";"2 Hospital Rd, Tai Ping Shan";22.283688;114.147313;2149
"French International School of Hong Kong";1;"school";"High school";"Tai Ping Shan";22.285063;114.147188;2150
"Andre Music 音樂教室";1;"school";"Music school";"德輔道西259-269號, 銀行大廈 地下20-22號舖, 港鐵西營盤站 B3 出口對面 (MRT消費站), Shop 20-22, G/F, MRT Mall, Bank Building, 259-269 Des Voeux Road West, Sai Ying Pun";22.288188;114.141062;2151
"Singapore International School - Preparatory Years and Primary Section";19;"school";"School";"23 Nam Long Shan Rd, Aberdeen";22.244687;114.167188;2152
"The ISF Pre-School";0;"school";"School";"17 Po Yan St, Tai Ping Shan";22.285063;114.147188;2153
"弘爵國際學校（堅道）";0;"school";"High school";"Mid-level";22.282687;114.150188;2154
"Sons’ school (Tin Wan Chi Nam Primary School)";0;"school";"School";"Tin Wan";22.251938;114.151063;2155
"Catholic Mission School";18;"school";"Primary school";"Rutter St, Tai Ping Shan";22.284062;114.147313;2156
"HKUST Business School Central";5;"school";"Business school";"Rm 1501- 02, 15/F, Hong Kong Club Building, 3A Chater Rd, Central";22.281563;114.161063;2157
"補習學校 Education";0;"school";"Educational Institution";"Sheung Fung Ln, Sai Wan";22.285687;114.141313;2158
"Island School";43;"school";"International school";"20 Borrett Rd, Mid-level";22.273687;114.163563;2160
"King's College Old Boys' Association Primary School (School 2)";9;"school";"Primary school";"40 Po Hing Fong, Tai Ping Shan";22.284062;114.147813;2162
"Elchk Amazing Grace Nursery School";0;"school";"School";"2 High St, Sai Wan";22.284937;114.144188;2163
"Reader Ship Literacy School";0;"school";"School";"地下 Babington Path, 6號西營盤 Grand Court";22.284187;114.141813;2164
"King's College Old Boys' Association Primary School";12;"school";"Elementary school";"58 Bridges St, Sheung Wan";22.283437;114.150062;2165
"Raimondi College";43;"school";"Middle school";"2 Robinson Rd, Mid-level";22.278313;114.153313;2166
"Jean M. Wong School of Ballet (Central) 王仁曼芭蕾舞學校 (中環分校)";0;"school";"School";"Room 3101, 3103 17, Universal Trade Centre, 17-19 Caine Rd, Central";22.280188;114.154187;2167
"迦密學校";0;"school";"High school";"Mid-level, 半山羅便臣道70號雍景台1座3～4字樓";22.281688;114.148938;2168
"SKH Saint Matthew's Primary School";9;"school";"Primary school";"12-20 New St, Sheung Wan";22.285687;114.146688;2169
"English Excel School (Mid-levels)";0;"school";"School";"Central, 亞畢諾道3號環貿中心703室";22.280188;114.154312;2170
"The International Montessori School (Kindergarten Section)(Mid-Levels Campus)";0;"school";"School";"Mezzanine Entrance, Tung Fai Gardens 17 Po Yan Street Sheung Wan, Hong Kong, Mid-level";22.285313;114.147438;2171
"Future Island School";0;"school";"School";"Mid-level";22.273563;114.163563;2172
"Discovery Montessori School (Central)";4;"school";"Kindergarten";"Mandarin Building, 35-43 Bonham Strand, Sheung Wan";22.285562;114.152563;2173
"Mandarin House School";13;"school";"School";"Central, Connaught Rd Central, 74-77號, Beautiful Group Tower, Unit 305, 3F";22.285813;114.154937;2174
"The Woodland Harbourside Pre-School";1;"school";"Preschool";"Ocean Court Block 1, G/F,, 3 Aberdeen Praya Rd, Aberdeen";22.247188;114.158938;2175
"NAE Hong Kong Limited";0;"school";"School";"Central, Ice House St, 12, 2 St. George's Building";22.282063;114.158938;2176
"Cherish English School & Kindergarten";2;"school";"Kindergarten";"Sai Wan";22.281187;114.126188;2177
"International Scholars Tuition School";1;"school";"Tutoring service";"255, 3/F, 257 Des Voeux Rd Central, Sheung Wan";22.286688;114.152063;2178
"Hong Kong Mandarin School";37;"school";"Language school";"40-42 Des Voeux Rd Central, Central";22.283188;114.156687;2179
"ITS Tutorial School Central";8;"school";"Tutoring service";"Boc Group Life Assurance Tower, 134-136 Des Voeux Rd Central, Sheung Wan";22.285188;114.154563;2180
"Victoria Shanghai Academy";49;"school";"School";"道19號 no, 香港香港仔深灣, 19 Shum Wan Rd, Aberdeen";22.241687;114.166313;2181
"CDNIS";5;"school";"School";"Canadian International School, 36 Nam Long Shan Rd, Wong Chuk Hang";22.242188;114.167188;2182
"天麟學校 Chamberlain Institute";0;"school";"Art school";"Central, 砵甸乍街10號5樓";22.283188;114.156188;2183
"S.K.H. Kei Yan Primary School";24;"school";"Primary school";"109 Hollywood Rd, Central";22.284062;114.151688;2184
"GSIS Peak Campus Reception, Lower Building";1;"school";"School";"22 Guildford Rd, The Peak";22.265313;114.160563;2185
"高主教學校";0;"school";"School";"Good View Court, 21號 Robinson Rd, Mid-level";22.279188;114.152437;2186
"City Kids Pre School and Playgroup";2;"school";"Kindergarten";"12 Borrett Rd, Mid-level";22.274188;114.163688;2187
"荷李活中心";1;"school";"Office Building";"Sheung Wan, 上環皇后大道西77-91號12樓C室";22.286563;114.147062;2188
"Malvern College Hong Kong Admissions Office";0;"school";"International school";"14/F, Club Lusitano Building, 16 Ice House Street, Central";22.279938;114.157438;2189
"The French International School of Hong Kong";19;"school";"International school";"165 Blue Pool Rd, Happy Valley";22.261062;114.191562;2190
"The Woodland Montessori Academy (Mid-Levels)";0;"school";"Preschool";"On Fung Building, G/F 3/F,, 110-118 Caine Rd, Mid-level";22.282687;114.150188;2191
"Hong Kong YWCA Tai Hon Fan Nursery School";1;"school";"Nursery school";"99 Queen's Road Central, Central";22.285063;114.154563;2192
"Canadian International School";39;"school";"International school";"36 Nam Long Shan Rd, Wong Chuk Hang";22.242313;114.167313;2193
"Hong Kong Pre-School Playgroups Association";0;"school";"Special education school";"12 Borrett Rd, Mid-level";22.274063;114.163937;2194
"Rightmind International Nursery and Kindergarten School";3;"school";"School";"11 Shum Wan Rd, Wong Chuk Hang";22.242813;114.164313;2195
"Rosaryhill School";26;"school";"School";"41B Stubbs Rd";22.263688;114.182313;2196
"Canadian International School Private Swimming Pool";1;"school";"School";"36 Nam Long Shan Rd, Aberdeen";22.241812;114.167313;2197
"Hong Kong International School - Upper Primary";11;"school";"Private school";"23 S Bay Cl, Repulse Bay";22.239063;114.201062;2198
"La Chouette Ecole";0;"school";"Preschool";"1/F Imperial Terrace, 356 queens road West, entrance on Western st, Sai Ying Pun";22.286813;114.141062;2199
"Bradbury School";5;"school";"School";"43C Stubbs Rd";22.265938;114.179688;2200
"SKH St. James' Primary School";1;"school";"School";"Hong Kong, 110 Kennedy Rd, Wan Chai";22.272688;114.173938;2201
"Art Loop Art Education School";0;"school";"School";"Unit 621, One Island South, 2 Heung Yip Rd";22.248563;114.169063;2202
"Pun U Association Wah Yan Primary School";20;"school";"Primary school";"Wan Chai, Stubbs Rd, 1F Shiu Fai Terrace";22.273188;114.176188;2203
"ESF Tennis Classes at Bradbury School";12;"school";"Tennis Instructor";"43 Stubbs Rd";22.265813;114.179938;2204
"Twghs Ng Sheung Lan Memorial Nursery School";0;"school";"Nursery school";"199 Hennessy Rd, Wan Chai";22.277938;114.174563;2205
"St. Joseph's Primary School";21;"school";"Primary school";"Wan Chai, Wood Rd, 48號";22.275438;114.176688;2206
"TWGHs Li Chi Ho Primary School";16;"school";"Primary school";"280 Queen's Rd E, Wan Chai";22.275438;114.177188;2207
"Princess School";1;"school";"School";"18 Ocean Park Rd, Ocean Park";22.246813;114.174438;2208
"Chinese International School";53;"school";"International school";"1 Hau Yuen Path";22.283563;114.197938;2210
"Sheng Kung Hui Tang Shiu Kin Secondary School";28;"school";"Middle school";"9 Oi Kwan Rd, Morrison Hill";22.275813;114.178688;2211
"St. Paul's Convent School";53;"school";"Girls' High School";"140 Leighton Rd, Causeway Bay";22.278563;114.187188;2212
"GSIS WAN CHAI CAMPUS";2;"school";"School";"30 Oi Kwan Rd, Wan Chai";22.276313;114.179813;2213
"遵理學校 (銅鑼灣怡和街)";4;"school";"Private College";"Shops 205-215, 2/F, 68 Yee Wo St, Causeway Bay";22.279188;114.186563;2214
"Hong Kong College of Technology";7;"school";"Vocational College";"412 Hennessy Rd, Wan Chai";22.278812;114.180438;2215
"Sunshine House International Pre-Schools Head Office";0;"school";"Kindergarten";"1/F, 54 Village Road,, Happy Valley";22.267938;114.185437;2216
"The Woodland Happy Valley Pre-School";1;"school";"Preschool";"2 Hawthorn Road, Happy Valley";22.266187;114.187563;2217
"South Island School";21;"school";"School";"50 Nam Fung Rd, Deep Water Bay";22.254063;114.182813;2218
"Yew Chung Kindergarten";8;"school";"International school";"Yew Chung International Children's House, Waterloo Rd, Kowloon Tong";22.338813;114.178812;2219
"Lai Chack Middle School";14;"school";"Middle school";"180 Canton Rd, Tsim Sha Tsui";22.301438;114.168188;2220
"Rosaryhill School Primary Section";6;"school";"Elementary school";"41B Stubbs Rd";22.263563;114.182938;2221
"Diocesan Girls' Junior School";24;"school";"Primary school";"1 Jordan Rd, Kowloon City";22.307313;114.172938;2222
"RL School Of Dance";0;"school";"School";"T.a.l. Building, 49 號 16 樓, 45-53 Austin Rd, Yau Ma Tei";22.303313;114.169937;2224
"Po Kok Primary School";12;"school";"Primary school";"11 Shan Kwong Rd, Happy Valley";22.267313;114.185313;2226
"Hong Kong True Light Secondary School";7;"school";"School";"50 Tai Hang Rd, Tai Hang";22.275563;114.194063;2227
"Diocesan Girls' School";86;"school";"Girls' High School";"1 Jordan Rd, Jordan";22.306938;114.173188;2228
"Po Leung Kuk Camões Tan Siu Lin Primary School";69;"school";"Primary school";"6 Hoi Ting Rd, Mong Kok";22.315063;114.165438;2229
"Tang Shiu Kin Victoria Government Secondary School";9;"school";"High school";"5 Oi Kwan Rd, Morrison Hill";22.276938;114.178563;2230
"Hong Kong School Of Commerce - Kowloon";6;"school";"School";"81 Austin Rd, Tsim Sha Tsui";22.303313;114.170813;2231
"St. Mary's Canossian College";38;"school";"Catholic school";"158～162 Austin Rd, Tsim Sha Tsui";22.303063;114.176313;2232
"Kiangsu & Chekiang Primary School (Nursery, Kindergarten, Primary & International Section)";16;"school";"Kindergarten";"30 Ching Wah St, North Point";22.289188;114.198563;2233
"ITS Tutorial School TST";1;"school";"Tutoring service";"Cameron Plaza, Shop A-C, 5/F, Cameron Plaza, 25A Tsim Sha Tsui, 23 Cameron Rd, Tsim Sha Tsui";22.299313;114.174313;2234
"Beacon Hill School 畢架山小學";0;"school";"International school";"23 Ede Rd, Kowloon Tong";22.342187;114.177938;2235
"HK True Light Middle School Primary Section";20;"school";"Primary school";"50 Tai Hang Rd, Causeway Bay";22.276063;114.194688;2236
"School of Biomedical Sciences";1;"school";"Laboratory";"F-4/F,, 21 Sassoon Rd, Pok Fu Lam";22.267563;114.128813;2237
"Queen's College";70;"school";"Middle school";"120 Causeway Rd, Causeway Bay";22.281313;114.191437;2238
"Confucius Hall Secondary School";15;"school";"Middle school";"77 Caroline Hill Rd, Causeway Bay";22.274563;114.187563;2239
"Belilios Public School";37;"school";"Girls' High School";"51號 Tin Hau Temple Rd, North Point";22.285313;114.193312;2240
"Wall Street English 英語學院 (銅鑼灣分校) - WSE Causeway Bay Centre";3;"school";"Private school";"19/F, Causeway Bay Plaza Two, 463-483 Lockhart Rd, Causeway Bay";22.280563;114.182188;2241
"Maryknoll Fathers' School Secondary Section";23;"school";"High school";"Tai Hang Tung, 2 To Yuen St, Kowloon Tong";22.334188;114.173313;2242
"Kowloon Rhenish School";19;"school";"School";"Yau Yat Chuen, Dianthus Rd, 2A號2A號";22.329562;114.175563;2243
"Top Schools Hong Kong";1;"school";"Educational consultant";"Central, Queen Victoria St, 15號, Yue Shing Commercial Building, 14/F";22.283437;114.155563;2244
"香港香水學校 Hong Kong Perfume School";0;"school";"Educational Institution";"1605, Beverley Commercial Centre, F,, 87-105 Chatham Rd S, Tsim Sha Tsui";22.301438;114.175937;2245
"The Woodland Montessori Pre-School (Repulse Bay)";2;"school";"Preschool";"Shop G118-119, G/F, The Repulse Bay, 109 Repulse Bay Rd, Repulse Bay";22.239063;114.195938;2246
"Parkview International Pre-School";0;"school";"Kindergarten";"88 Tai Tam Reservoir Rd, Tai Tam";22.257938;114.198687;2247
"Pole Dance - A Queen Arts School";1;"school";"School";"Prospect Building, 號 樓 493 室, 491-493A Nathan Rd, Yau Ma Tei";22.311687;114.170688;2248
"Methodist College";23;"school";"Middle school";"50號 Gascoigne Rd, King's Park";22.309063;114.171938;2249
"E.L.C.H.K. Hung Hom Lutheran Primary School";17;"school";"Primary school";"39 Pau Chung St, To Kwa Wan";22.318438;114.187937;2250
"BSD Education";8;"school";"Educational Institution";"18/F, Fu Fai Commercial Centre, 27 Hillier Street, Sheung Wan";22.285188;114.151312;2252
"Hong Kong Red Cross Hospital Schools";0;"school";"Special education school";"West Kowloon, Hoi Ting Rd, 19號room 907";22.314562;114.162313;2253
"ESF Lions Football Class at Quarry Bay School";15;"school";"Soccer Practice";"Football pitch, 6 Hau Yuen Path, Quarry Bay";22.284313;114.198438;2254
"G.T. (Ellen Yeung) College (Junior Primary Section)";13;"school";"Primary school";"31 Sai Yee St, Mong Kok";22.317813;114.171813;2255
"Hong Kong Art School";2;"school";"School";"Room 819, 8/F, Youth Square, 238 Chai Wan Road, Chai Wan, Hong Kong, Chai Wan";22.263063;114.236813;2256
"The International Montessori School Primary Section Stanley Campus";7;"school";"Primary school";"Phase III, Ma Hang Estate, Stanley";22.219437;114.209188;2257
"Beacon College";18;"school";"Private school";"301-302,602,701A, 701B, 702A ,702B, Ginza Square, 565-567 Nathan Rd, Yau Ma Tei";22.314687;114.170188;2258
"St. Francis Xavier's College";42;"school";"Middle school";"45 Sycamore St, Tai Kok Tsui";22.325563;114.163187;2259
"Ma Tau Chung Government Primary School Hung Hom Bay";27;"school";"Primary school";"Hung Hom, Oi King St, 3號";22.302563;114.188063;2260
"The University of Hong Kong";474;"school";"University";"Pok Fu Lam";22.282938;114.137063;2261
"Hong Kong Taoist Association Wun Tsuen School";20;"school";"Primary school";"Ngau Tau Kok, 牛頭角上邨";22.319438;114.217563;2263
"English Excel School (Olympic)";0;"school";"School";"Tai Kok Tsui, 西九匯, 1/F, 101舖";22.318438;114.161688;2264
"T.W.G.Hs. Lo Yu Chik Primary School";25;"school";"Primary school";"51 Pitt St, Mong Kok";22.314313;114.171187;2265
"Yaumati Catholic Primary School";0;"school";"Primary school";"41 Tung Kun Street, Yau Ma Tei";22.311313;114.167813;2266
"American International School";39;"school";"International school";"125 Waterloo Rd, Kowloon Tong";22.331687;114.178312;2267
"Aoi Pui School";3;"school";"Special education school";"16 Station Ln, Hung Hom";22.307937;114.185938;2268
